iter	Passed	Remaining
405	7466	5406
406	7487	5390
407	7512	5376
408	7528	5356
409	7551	5341
410	7572	5325
411	7584	5301
412	7603	5284
413	7618	5262
414	7637	5245
415	7667	5234
416	7715	5236
417	7738	5220
418	7756	5202
419	7763	5175
420	7782	5157
421	7799	5138
422	7817	5119
423	7830	5097
424	7846	5076
425	7865	5058
426	7877	5036
427	7897	5018
428	7916	5001
429	7934	4982
430	7947	4960
431	7967	4942
432	7984	4923
433	8005	4906
434	8023	4887
435	8044	4870
436	8066	4854
437	8087	4837
438	8108	4820
439	8131	4804
440	8149	4786
441	8175	4772
442	8191	4752
443	8207	4732
444	8231	4716
445	8256	4702
446	8283	4688
447	8308	4673
448	8327	4655
449	8346	4637
450	8367	4619
451	8384	4600
452	8401	4581
453	8419	4561
454	8447	4548
455	8481	4538
456	8518	4529
457	8537	4511
458	8574	4501
459	8598	4486
460	8622	4470
461	8648	4455
462	8670	4438
463	8692	4421
464	8705	4399
465	8723	4380
466	8736	4359
467	8771	4348
468	8826	4347
469	8860	4336
470	8886	4320
471	8908	4303
472	8927	4284
473	8951	4267
474	8974	4251
475	8993	4232
476	9015	4214
477	9036	4196
478	9062	4181
479	9082	4162
480	9098	4142
481	9115	4122
482	9139	4106
483	9157	4086
484	9175	4067
485	9195	4049
486	9223	4033
487	9245	4016
488	9270	3999
489	9290	3981
490	9315	3965
491	9337	3947
492	9354	3927
493	9361	3903
494	9383	3886
495	9395	3864
496	9412	3844
497	9432	3826
498	9449	3806
499	9472	3789
500	9495	3771
501	9512	3751
502	9561	3744
503	9589	3729
504	9612	3711
505	9640	3696
506	9666	3679
507	9697	3665
508	9715	3645
509	9738	3627
510	9764	3611
511	9800	3598
512	9839	3586
513	9869	3571
514	9920	3563
515	9963	3552
516	9995	3537
517	10026	3522
518	10141	3536
519	10215	3536
520	10264	3526
521	10282	3506
522	10301	3486
523	10321	3466
524	10336	3445
525	10357	3426
526	10380	3407
527	10393	3385
528	10411	3365
529	10434	3346
530	10459	3328
531	10481	3310
532	10504	3291
533	10524	3271
534	10547	3252
535	10564	3232
536	10575	3210
537	10598	3191
538	10651	3181
539	10686	3166
540	10716	3149
541	10740	3130
542	10761	3111
543	10779	3091
544	10798	3071
545	10817	3051
546	10834	3030
547	10848	3009
548	10865	2988
549	10885	2968
550	10902	2948
551	10920	2928
552	10938	2907
553	10955	2887
554	10972	2866
555	10989	2846
556	11004	2825
557	11021	2804
558	11039	2784
559	11055	2763
560	11075	2744
561	11101	2726
562	11182	2721
563	11229	2707
564	11279	2695
565	11326	2681
566	11368	2666
567	11392	2647
568	11409	2626
569	11426	2605
570	11442	2585
571	11485	2570
572	11514	2551
573	11540	2533
574	11566	2514
575	11586	2494
576	11608	2474
577	11632	2455
578	11650	2434
579	11672	2414
580	11693	2394
581	11709	2374
582	11727	2353
583	11750	2333
584	11774	2314
585	11796	2294
586	11815	2274
587	11839	2255
588	11867	2236
589	11887	2216
590	11905	2195
591	11921	2174
592	11934	2153
593	11949	2132
594	11967	2111
595	11986	2091
596	11994	2069
597	12007	2048
598	12025	2027
599	12043	2007
600	12060	1986
601	12072	1965
602	12091	1945
603	12111	1925
604	12129	1904
605	12145	1884
606	12163	1863
607	12184	1843
608	12208	1824
609	12247	1807
610	12284	1789
